target,n_features,r2_test,rmse_test,corr_test,n_train,n_test
windspeed850,5,0.1491515040397644,5.290733895980883,0.38661445247971943,2797704,924882
windspeed850,10,0.39819419384002686,4.449569407000507,0.6314745796480824,2797704,924882
windspeed850,25,0.5256742238998413,3.950282707237806,0.7252539635263436,2797704,924882
windspeed850,50,0.5632227063179016,3.79070367566359,0.7506418384860882,2797704,924882
windspeed850,100,0.6323134899139404,3.477992623030137,0.7952048827981872,2797704,924882
windspeed850,200,0.6935678720474243,3.1750966515435506,0.8328445934046506,2797704,924882
windspeed850,400,0.7352959513664246,2.951005932265821,0.8575147944051386,2797704,924882
rh850,5,0.30704307556152344,22.09726990282291,0.5541798088248387,2797704,924882
rh850,10,0.39185476303100586,20.70089684354166,0.6260908381528107,2797704,924882
rh850,25,0.4742692708969116,19.247183457454803,0.6888886375821376,2797704,924882
rh850,50,0.5677305459976196,17.452707092691416,0.7535674295621007,2797704,924882
rh850,100,0.6471887826919556,15.767277520398803,0.8044925668303932,2797704,924882
rh850,200,0.7037225961685181,14.448899297800118,0.8389436585227257,2797704,924882
rh850,400,0.7425787448883057,13.468141617277674,0.8617418246822651,2797704,924882
thickness500_850,5,0.5516883730888367,1160.6030221397841,0.7438448417797382,2797704,924882
thickness500_850,10,0.5623960494995117,1146.6591145584637,0.7507458809032612,2797704,924882
thickness500_850,25,0.6673502326011658,999.7405600954679,0.8169761885005222,2797704,924882
thickness500_850,50,0.7855187654495239,802.7647927631107,0.8867105212151303,2797704,924882
thickness500_850,100,0.8137906789779663,747.9876335876148,0.9023918312474347,2797704,924882
thickness500_850,200,0.8458379507064819,680.5850883614773,0.9198640891290265,2797704,924882
thickness500_850,400,0.8721660375595093,619.7504790236148,0.9339601349230531,2797704,924882
